NAMESPACE       NAME                                    READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS                                                                                      IMAGES                                                                                                                                                                                                                                           SELECTOR
rook-ceph       rook-ceph-mon-c                         1/1     1            1           4d14h   mon                                                                                             quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-mon,ceph_daemon_id=c,mon=c,mon_cluster=rook-ceph,rook_cluster=rook-ceph
rook-ceph       rook-ceph-operator                      1/1     1            1           4d14h   rook-ceph-operator                                                                              rook/ceph:v1.7.2                                                                                                                                                                                                                                 app=rook-ceph-operator
rook-ceph       rook-ceph-osd-0                         1/1     1            1           4d14h   osd                                                                                             quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-osd,ceph-osd-id=0,rook_cluster=rook-ceph
rook-ceph       rook-ceph-osd-1                         1/1     1            1           4d14h   osd                                                                                             quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-osd,ceph-osd-id=1,rook_cluster=rook-ceph
rook-ceph       rook-ceph-osd-2                         1/1     1            1           4d14h   osd                                                                                             quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-osd,ceph-osd-id=2,rook_cluster=rook-ceph
rook-ceph       rook-ceph-osd-3                         1/1     1            1           4d14h   osd                                                                                             quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-osd,ceph-osd-id=3,rook_cluster=rook-ceph
rook-ceph       rook-ceph-osd-4                         1/1     1            1           4d14h   osd                                                                                             quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-osd,ceph-osd-id=4,rook_cluster=rook-ceph
rook-ceph       rook-ceph-osd-5                         1/1     1            1           4d13h   osd                                                                                             quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-osd,ceph-osd-id=5,rook_cluster=rook-ceph
rook-ceph       rook-ceph-osd-6                         1/1     1            1           4d13h   osd                                                                                             quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-osd,ceph-osd-id=6,rook_cluster=rook-ceph
rook-ceph       rook-ceph-osd-7                         1/1     1            1           4d13h   osd                                                                                             quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-osd,ceph-osd-id=7,rook_cluster=rook-ceph
rook-ceph       rook-ceph-osd-8                         1/1     1            1           4d13h   osd                                                                                             quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-osd,ceph-osd-id=8,rook_cluster=rook-ceph
rook-ceph       rook-ceph-rgw-gc-ceph-object-store-a    1/1     1            1           3d22h   rgw                                                                                             quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-rgw,ceph_daemon_id=gc-ceph-object-store,rgw=gc-ceph-object-store,rook_cluster=rook-ceph,rook_object_store=gc-ceph-object-store
rook-ceph       rook-ceph-tools                         1/1     1            1           4d14h   rook-ceph-tools                                                                                 rook/ceph:v1.7.2                                                                                                                                                                                                                                 app=rook-ceph-tools
test-ingress    nginx-deploy-blue                       1/1     1            1           38h     nginx                                                                                           reg.govcloud.dk/gcproxy/library/nginx                                                                                                                                                                                                            run=nginx-blue
test-ingress    nginx-deploy-green                      1/1     1            1           38h     nginx                                                                                           reg.govcloud.dk/gcproxy/library/nginx                                                                                                                                                                                                            run=nginx-green
test-ingress    nginx-deploy-main                       1/1     1            1           39h     nginx                                                                                           reg.govcloud.dk/gcproxy/library/nginx                                                                                                                                                                                                            run=nginx-main
test            busybox-1                               1/1     1            1           2d17h   busybox                                                                                         reg.govcloud.dk/gcproxy/library/busybox                                                                                                                                                                                                          app=busybox
velero          velero                                  1/1     1            1           12h     velero                                                                                          reg.govcloud.dk/gcproxy/velero/velero:v1.6.3                                                                                                                                                                                                     deploy=velero
